단어,빈도
복지,8404
가구,7209
취약,6444
계층,6276
독거노인,5210
노인,4471
고독사,4137
센터,3847
예방,3372
안전,3344
어르신,3277
이웃,3212
생활,3125
사랑,3069
고립,3030
건강,2699
사회보장,2586
주민,2518
대응,2348
위험,2181
폭염,2174
방문,2158
안부,2137
행정,2078
봉사,2040
소득,2038
관리,1932
부산,1904
회장,1845
가정,1838
